temperature,air_quality,carbon_monoxide,smoke,status
65.56,1263,687,1616,Fire
67.94,1375,725,1728,Fire
68.06,1381,701,1718,Fire
68.31,1358,907,1680,Fire
68.44,1318,683,1655,Fire
68.19,1275,686,1616,Fire
67.94,1238,661,1591,Fire
67.69,1204,672,1535,Fire
68.25,1217,673,1529,Fire
71.94,1343,696,1664,Fire
74.38,1429,702,1718,Fire
73.75,1323,700,1632,Fire
74,1324,693,1603,Fire
73.94,1293,688,1580,Fire
74.06,1276,690,1561,Fire
74.5,1275,687,1559,Fire
74,1255,685,1520,Fire
73.69,1234,671,1486,Fire
74.38,1213,678,1490,Fire
74.69,1229,681,1474,Fire
77.19,1265,688,1531,Fire
79.13,1344,697,1606,Fire
80.75,1367,708,1616,Fire
81.19,1390,707,1639,Fire
58.06,830,528,1008,Fire
59.06,831,553,1117,Fire
60.25,838,525,979,Fire
60.44,848,529,949,Fire
63.38,959,545,1122,Fire
67.13,1055,576,1215,Fire
66.81,1031,592,1176,Fire
66.94,986,559,1143,Fire
67.63,1042,555,1104,Fire
67.75,970,544,1081,Fire
68.38,999,554,1101,Fire
68.25,1032,550,1111,Fire
68.19,905,561,1155,Fire
68.25,902,560,1138,Fire
68.38,899,558,1127,Fire
68.94,882,545,1099,Fire
68.94,895,543,1093,Fire
70.56,923,550,1110,Fire
70.5,961,541,1171,Fire
70.25,943,557,1142,Fire
70.25,907,549,1118,Fire
69.75,878,555,1102,Fire
69.31,838,551,1097,Fire
69.06,801,544,1039,Fire
68.5,772,527,922,Fire
68.38,779,604,935,Fire
68.69,784,561,1007,Fire
68.13,797,601,1038,Fire
67.5,776,551,1004,Fire
67.06,791,536,993,Fire
66.38,771,528,975,Fire
65.88,749,549,960,Fire
65.31,743,547,944,Fire
64.75,726,533,930,Fire
64.25,728,537,919,Fire
63.69,727,537,938,Fire
63.31,725,511,887,Fire
62.63,726,523,898,Fire
62.13,700,499,901,Fire
61.56,720,561,899,Fire
61.19,735,526,898,Fire
60.81,734,562,896,Fire
60.44,723,535,926,Fire
60,707,527,880,Fire
59.63,709,528,860,Fire
59.31,717,492,889,Fire
60.25,771,523,944,Fire
59.63,757,530,944,Fire
59.56,734,538,909,Fire
60.19,815,540,1038,Fire
60.75,850,543,1043,Fire
63.44,880,555,1068,Fire
64.25,881,528,1079,Fire
65.06,870,549,1072,Fire
65.31,862,522,1055,Fire
65.38,859,547,1074,Fire
65.56,901,560,1111,Fire
66,906,581,1120,Fire
66.06,908,549,1083,Fire
65.94,869,571,1058,Fire
65.69,833,558,1019,Fire
65.56,811,548,989,Fire
65.19,796,545,970,Fire
65,787,544,960,Fire
64.63,770,539,939,Fire
64.25,763,538,918,Fire
64,755,531,887,Fire
63.63,753,531,909,Fire
63.25,743,531,885,Fire
62.94,726,536,873,Fire
62.63,725,505,870,Fire
62.25,721,556,864,Fire
61.88,722,539,867,Fire
63.88,789,557,958,Fire
65,843,560,1040,Fire
66.5,893,523,1081,Fire
66.25,891,550,1103,Fire
66.31,934,558,1189,Fire
66.38,967,562,1237,Fire
67.19,994,605,1262,Fire
68.25,1039,570,1315,Fire
69.5,1038,616,1328,Fire
70.63,1023,608,1358,Fire
71.44,1023,576,1296,Fire
74,1014,580,1361,Fire
73.38,926,577,1301,Fire
73.25,963,571,1096,Fire
73.31,919,562,1199,Fire
72.94,881,562,1151,Fire
72.56,857,562,1121,Fire
72.69,895,560,1150,Fire
72.69,885,540,1159,Fire
73.06,955,598,1203,Fire
73.56,976,541,1279,Fire
75.25,1114,583,1399,Fire
76.5,1147,592,1456,Fire
77.75,1227,592,1559,Fire
80.88,1265,627,1661,Fire
81.81,1319,607,1750,Fire
82.13,1325,618,1737,Fire
82.13,1309,618,1721,Fire
82.13,1344,624,1808,Fire
82.13,1392,631,1826,Fire
82.13,1399,626,1747,Fire
82.13,1370,637,1758,Fire
74.44,1202,624,1184,Fire
78.06,1271,624,1232,Fire
82.06,1260,656,1229,Fire
83.38,1242,643,1213,Fire
84.5,1231,669,1180,Fire
86.75,1226,704,1179,Fire
87.13,1357,643,1357,Fire
86.19,1358,650,1341,Fire
85.63,1250,681,1353,Fire
84.81,1295,644,1339,Fire
84,1255,625,1315,Fire
83.69,1232,666,1302,Fire
83.38,1245,624,1303,Fire
82.44,1263,624,1338,Fire
82.56,1298,633,1365,Fire
81.38,1249,637,1314,Fire
80.81,1235,599,1302,Fire
79.69,1214,614,1264,Fire
79.06,1200,638,1243,Fire
78.81,1180,598,1199,Fire
80.56,1168,610,1195,Fire
80.81,1160,607,1171,Fire
80.06,1153,615,1149,Fire
79.81,1138,606,1122,Fire
80.19,1131,637,1130,Fire
80.94,1135,611,1101,Fire
80.5,1136,582,1115,Fire
80.75,1131,635,1105,Fire
80.56,1203,623,1214,Fire
80.5,1367,624,1392,Fire
80.38,1389,646,1455,Fire
82.06,1411,640,1501,Fire
83.56,1379,654,1489,Fire
84.69,1375,649,1433,Fire
87,1312,653,1408,Fire
87.13,1335,397,1376,Fire
89.44,1342,661,1392,Fire
91.69,1349,663,1395,Fire
92.19,1376,643,1428,Fire
93.13,1457,705,1535,Fire
94.44,1415,671,1504,Fire
94.25,1380,684,1456,Fire
93.94,1351,663,1414,Fire
93.75,1399,672,1461,Fire
93.75,1411,657,1475,Fire
94.25,1418,672,1490,Fire
95.44,1413,639,1478,Fire
95.44,1395,670,1474,Fire
95.44,1406,661,1465,Fire
95.44,1403,653,1437,Fire
95.44,1453,673,1552,Fire
95.44,1476,689,1535,Fire
95.44,1472,656,1534,Fire
30.75,124,182,106,Potential Fire
30.69,115,168,100,Potential Fire
30.69,100,162,100,Potential Fire
30.69,121,155,100,Potential Fire
30.69,100,143,100,Potential Fire
30.69,100,132,100,Potential Fire
30.69,115,132,101,Potential Fire
30.69,190,194,185,Potential Fire
30.75,349,257,376,Potential Fire
30.69,437,290,385,Potential Fire
30.69,499,394,405,Potential Fire
30.69,489,475,456,Potential Fire
30.75,581,452,502,Potential Fire
30.75,583,467,463,Potential Fire
30.75,596,503,501,Potential Fire
30.75,530,471,600,Potential Fire
30.75,530,493,559,Potential Fire
30.75,449,558,495,Potential Fire
30.75,365,479,407,Potential Fire
30.75,365,447,424,Potential Fire
30.75,351,426,361,Potential Fire
30.75,331,388,378,Potential Fire
30.75,457,412,407,Potential Fire
30.75,594,465,564,Potential Fire
30.75,719,602,650,Potential Fire
30.75,619,603,631,Potential Fire
30.75,720,623,797,Potential Fire
30.75,720,616,943,Potential Fire
30.75,736,627,844,Potential Fire
30.75,575,598,773,Potential Fire
30.81,550,548,720,Potential Fire
30.75,409,480,608,Potential Fire
30.75,394,433,631,Potential Fire
30.75,446,443,627,Potential Fire
30.81,551,491,643,Potential Fire
30.75,658,562,709,Potential Fire
30.75,555,491,671,Potential Fire
30.75,510,483,625,Potential Fire
30.81,433,435,603,Potential Fire
30.81,393,379,547,Potential Fire
30.81,377,349,487,Potential Fire
30.81,335,292,463,Potential Fire
30.81,579,484,606,Potential Fire
30.81,499,483,619,Potential Fire
30.75,428,461,582,Potential Fire
30.81,621,427,695,Potential Fire
30.81,535,402,688,Potential Fire
30.81,440,379,613,Potential Fire
30.81,397,367,551,Potential Fire
30.81,342,352,486,Potential Fire
30.81,301,315,473,Potential Fire
30.81,279,319,490,Potential Fire
30.81,294,323,500,Potential Fire
30.81,296,318,586,Potential Fire
30.81,311,295,605,Potential Fire
30.81,306,313,572,Potential Fire
30.81,333,308,641,Potential Fire
30.81,321,277,702,Potential Fire
30.81,285,271,633,Potential Fire
30.81,244,279,583,Potential Fire
30.81,271,263,650,Potential Fire
30.88,452,263,764,Potential Fire
30.88,363,257,684,Potential Fire
30.88,389,309,783,Potential Fire
30.81,359,325,757,Potential Fire
30.88,307,297,683,Potential Fire
30.88,315,299,691,Potential Fire
30.81,343,295,732,Potential Fire
30.81,280,276,652,Potential Fire
30.88,262,276,698,Potential Fire
30.81,261,265,666,Potential Fire
30.88,289,271,693,Potential Fire
30.88,361,324,727,Potential Fire
30.88,460,312,749,Potential Fire
30.88,569,399,733,Potential Fire
30.88,661,463,769,Potential Fire
30.88,488,472,682,Potential Fire
30.88,447,426,666,Potential Fire
30.88,450,387,695,Potential Fire
30.88,568,349,747,Potential Fire
30.88,524,362,762,Potential Fire
30.88,434,340,700,Potential Fire
30.88,352,349,586,Potential Fire
30.88,314,323,539,Potential Fire
30.88,320,324,507,Potential Fire
30.88,369,333,492,Potential Fire
30.94,351,347,495,Potential Fire
30.94,409,355,540,Potential Fire
30.94,541,479,648,Potential Fire
30.94,636,545,721,Potential Fire
30.94,760,592,768,Potential Fire
30.94,665,539,826,Potential Fire
30.94,632,516,835,Potential Fire
30.94,610,580,810,Potential Fire
30.94,562,533,776,Potential Fire
30.94,597,551,759,Potential Fire
30.94,549,565,693,Potential Fire
31,578,574,703,Potential Fire
30.94,491,575,625,Potential Fire
31,438,561,577,Potential Fire
31,630,532,627,Potential Fire
31,615,531,645,Potential Fire
30.94,824,603,780,Potential Fire
31,658,580,795,Potential Fire
30.81,233,356,262,Potential Fire
30.81,217,335,241,Potential Fire
30.81,190,312,217,Potential Fire
30.88,437,342,403,Potential Fire
30.81,632,388,628,Potential Fire
30.88,577,451,636,Potential Fire
30.88,504,449,623,Potential Fire
30.88,434,420,566,Potential Fire
30.88,471,403,635,Potential Fire
30.88,511,397,640,Potential Fire
30.88,564,418,634,Potential Fire
30.88,588,420,577,Potential Fire
30.88,660,421,625,Potential Fire
30.88,592,413,679,Potential Fire
30.94,465,379,630,Potential Fire
30.88,511,372,654,Potential Fire
30.88,699,435,785,Potential Fire
30.94,934,489,933,Potential Fire
30.94,945,566,905,Potential Fire
30.88,978,655,845,Potential Fire
30.88,770,623,842,Potential Fire
30.88,626,555,804,Potential Fire
30.94,560,483,722,Potential Fire
30.94,509,434,682,Potential Fire
30.94,467,391,650,Potential Fire
30.88,543,423,682,Potential Fire
30.94,510,430,650,Potential Fire
30.94,427,418,578,Potential Fire
30.94,394,417,498,Potential Fire
30.94,530,490,507,Potential Fire
30.94,527,484,682,Potential Fire
30.94,567,469,597,Potential Fire
30.94,530,427,516,Potential Fire
30.94,421,425,496,Potential Fire
30.94,413,418,513,Potential Fire
30.94,418,398,491,Potential Fire
30.94,429,386,471,Potential Fire
31,386,342,504,Potential Fire
31,543,373,573,Potential Fire
31,413,387,485,Potential Fire
31,462,420,468,Potential Fire
31,365,367,420,Potential Fire
31,328,314,368,Potential Fire
31,263,286,332,Potential Fire
30.94,240,257,410,Potential Fire
31,224,258,395,Potential Fire
31,224,241,468,Potential Fire
31,268,231,434,Potential Fire
31,525,232,555,Potential Fire
31,537,232,554,Potential Fire
31,570,260,598,Potential Fire
31,689,416,682,Potential Fire
31,690,470,713,Potential Fire
31.06,674,435,691,Potential Fire
31.06,561,506,625,Potential Fire
31,431,461,630,Potential Fire
31,428,450,599,Potential Fire
31.06,376,443,541,Potential Fire
31.06,453,384,516,Potential Fire
31.06,434,341,603,Potential Fire
31.06,483,340,631,Potential Fire
31.06,356,303,523,Potential Fire
31.06,373,331,490,Potential Fire
31.06,389,388,458,Potential Fire
31.06,373,384,424,Potential Fire
31.06,306,341,395,Potential Fire
31.06,513,312,544,Potential Fire
31.06,449,296,497,Potential Fire
31.06,337,281,527,Potential Fire
31.13,412,287,622,Potential Fire
31.13,657,502,683,Potential Fire
31.06,841,641,767,Potential Fire
31.06,926,673,838,Potential Fire
31.13,817,650,848,Potential Fire
31.13,806,612,860,Potential Fire
31.06,594,611,769,Potential Fire
31.13,472,565,632,Potential Fire
31.13,469,528,612,Potential Fire
31.13,601,533,666,Potential Fire
31.13,553,491,588,Potential Fire
31.13,445,548,563,Potential Fire
31.13,429,518,683,Potential Fire
31.13,420,458,586,Potential Fire
31.13,406,468,548,Potential Fire
31.19,386,474,538,Potential Fire
31.19,400,485,537,Potential Fire
31.13,418,479,547,Potential Fire
31.19,423,459,489,Potential Fire
31.19,407,435,569,Potential Fire
31.19,542,471,570,Potential Fire
31.19,545,528,538,Potential Fire
31.19,552,542,555,Potential Fire
31.19,522,520,647,Potential Fire
31.19,417,463,543,Potential Fire
31.19,439,450,481,Potential Fire
31.19,681,612,682,Potential Fire
31.19,626,600,720,Potential Fire
31.25,536,541,625,Potential Fire
31.19,477,518,571,Potential Fire
31.19,606,526,592,Potential Fire
31.25,772,587,717,Potential Fire
31.25,812,612,794,Potential Fire
31.25,915,678,856,Potential Fire
31.25,921,761,915,Potential Fire
31.25,933,781,895,Potential Fire
31.25,920,798,913,Potential Fire
31.25,901,803,897,Potential Fire
31.25,808,732,852,Potential Fire
31.25,674,655,720,Potential Fire
31.25,612,634,649,Potential Fire
31.25,628,600,613,Potential Fire
31.25,580,578,595,Potential Fire
31.25,521,511,559,Potential Fire
31.31,478,497,515,Potential Fire
31.25,426,462,459,Potential Fire
31.25,433,453,437,Potential Fire
31.25,402,438,415,Potential Fire
31.25,402,435,426,Potential Fire
31.25,380,427,415,Potential Fire
31.25,380,417,396,Potential Fire
31.25,387,394,426,Potential Fire
31.25,596,580,468,Potential Fire
31.25,752,724,592,Potential Fire
31.25,915,825,730,Potential Fire
31.25,940,843,810,Potential Fire
31.25,946,841,794,Potential Fire
31.31,914,817,765,Potential Fire
31.25,911,836,742,Potential Fire
31.25,927,801,827,Potential Fire
31.25,757,706,825,Potential Fire
31.25,692,630,794,Potential Fire
31.25,661,623,716,Potential Fire
31.25,603,626,632,Potential Fire
31.25,555,601,561,Potential Fire
31.25,461,534,458,Potential Fire
31.25,376,482,397,Potential Fire
31.25,396,422,441,Potential Fire
31.25,350,417,398,Potential Fire
31.25,332,399,341,Potential Fire
31.25,323,401,330,Potential Fire
31.25,313,393,320,Potential Fire
31.25,315,389,309,Potential Fire
31.25,294,394,316,Potential Fire
31.25,273,356,281,Potential Fire
31.25,258,356,287,Potential Fire
31.25,244,324,284,Potential Fire
31.25,239,277,280,Potential Fire
31.25,311,276,379,Potential Fire
31.25,499,323,457,Potential Fire
31.25,580,471,562,Potential Fire
31.25,595,529,622,Potential Fire
31.25,498,516,565,Potential Fire
31.25,468,482,500,Potential Fire
31.31,485,488,485,Potential Fire
31.25,649,583,616,Potential Fire
31.31,667,612,727,Potential Fire
31.25,601,626,619,Potential Fire
31.25,530,617,508,Potential Fire
31.25,544,562,503,Potential Fire
31.25,499,558,497,Potential Fire
31.25,444,514,512,Potential Fire
31.25,418,493,408,Potential Fire
31.31,423,500,408,Potential Fire
31.31,397,457,349,Potential Fire
31.31,338,413,346,Potential Fire
31.25,337,388,320,Potential Fire
31.25,322,385,317,Potential Fire
31.25,320,388,329,Potential Fire
31.25,356,389,349,Potential Fire
31.25,456,482,385,Potential Fire
31.31,572,591,491,Potential Fire
31.31,571,577,564,Potential Fire
31.25,529,566,584,Potential Fire
31.25,488,516,557,Potential Fire
31.25,449,484,456,Potential Fire
31.25,390,466,394,Potential Fire
31.25,361,443,367,Potential Fire
31.25,361,429,424,Potential Fire
31.25,472,427,618,Potential Fire
31.25,549,419,679,Potential Fire
31.25,443,397,630,Potential Fire
31.25,360,339,497,Potential Fire
31.25,309,347,412,Potential Fire
31.31,293,340,355,Potential Fire
31.25,260,313,329,Potential Fire
31.25,257,306,300,Potential Fire
31.31,232,297,315,Potential Fire
31.25,259,293,357,Potential Fire
31.25,243,273,287,Potential Fire
31.25,242,267,300,Potential Fire
31.25,227,229,296,Potential Fire
31.25,229,246,302,Potential Fire
31.25,338,367,410,Potential Fire
31.25,373,416,391,Potential Fire
31.25,351,398,363,Potential Fire
33.25,214,393,426,Non-Fire
33.25,275,399,435,Non-Fire
33.25,211,385,415,Non-Fire
33.44,200,405,394,Non-Fire
33.63,214,392,367,Non-Fire
33.63,224,398,418,Non-Fire
33.69,218,396,421,Non-Fire
33.69,225,396,385,Non-Fire
33.69,240,419,449,Non-Fire
33.69,233,423,450,Non-Fire
33.69,242,464,445,Non-Fire
33.75,241,430,448,Non-Fire
33.75,236,428,448,Non-Fire
33.81,238,431,468,Non-Fire
33.81,244,423,431,Non-Fire
33.88,237,413,433,Non-Fire
33.88,397,408,433,Non-Fire
33.88,238,412,442,Non-Fire
33.94,232,401,428,Non-Fire
33.94,230,432,432,Non-Fire
33.94,234,418,437,Non-Fire
33.94,240,419,441,Non-Fire
33.94,230,410,425,Non-Fire
33.94,242,430,454,Non-Fire
34,239,429,442,Non-Fire
34,237,426,432,Non-Fire
34,243,429,449,Non-Fire
34.13,217,429,445,Non-Fire
34.13,242,424,444,Non-Fire
34.13,243,419,448,Non-Fire
34.19,252,433,458,Non-Fire
34.13,247,430,453,Non-Fire
34.13,245,432,460,Non-Fire
34.13,238,430,453,Non-Fire
34.06,342,427,452,Non-Fire
34.06,240,432,460,Non-Fire
34.06,241,426,450,Non-Fire
34.06,237,432,435,Non-Fire
34.06,240,430,447,Non-Fire
34,240,266,448,Non-Fire
34.06,246,427,459,Non-Fire
34.25,240,425,452,Non-Fire
34.25,236,395,448,Non-Fire
34.25,238,417,451,Non-Fire
34.38,266,421,449,Non-Fire
34.38,238,422,443,Non-Fire
34.38,238,432,448,Non-Fire
34.38,235,437,447,Non-Fire
34.38,234,421,448,Non-Fire
34.38,235,407,452,Non-Fire
34.38,233,416,447,Non-Fire
34.38,229,418,440,Non-Fire
34.5,237,419,448,Non-Fire
34.44,230,421,448,Non-Fire
34.44,236,421,448,Non-Fire
34.44,238,409,449,Non-Fire
34.38,239,483,448,Non-Fire
34.38,266,406,442,Non-Fire
34.38,241,387,444,Non-Fire
34.38,229,418,441,Non-Fire
34.38,237,414,448,Non-Fire
34.38,231,415,443,Non-Fire
34.38,233,418,442,Non-Fire
34.31,236,416,448,Non-Fire
34.31,238,430,450,Non-Fire
34.38,239,410,331,Non-Fire
34.31,230,419,444,Non-Fire
34.31,237,415,432,Non-Fire
34.25,234,422,435,Non-Fire
34.31,240,417,443,Non-Fire
34.31,238,378,448,Non-Fire
34.31,240,418,438,Non-Fire
34.63,233,418,400,Non-Fire
34.5,240,419,439,Non-Fire
34.63,235,416,448,Non-Fire
34.56,241,496,449,Non-Fire
34.69,231,419,448,Non-Fire
34.69,243,429,448,Non-Fire
34.69,236,420,452,Non-Fire
34.94,235,422,445,Non-Fire
34.94,240,509,452,Non-Fire
34.94,236,418,449,Non-Fire
34.94,237,415,446,Non-Fire
35,233,400,445,Non-Fire
35,238,439,448,Non-Fire
35.13,233,413,441,Non-Fire
35.19,239,385,450,Non-Fire
35.19,238,417,498,Non-Fire
35.13,238,415,449,Non-Fire
35.13,192,417,442,Non-Fire
35.13,239,421,428,Non-Fire
35.13,240,422,443,Non-Fire
35.13,240,417,447,Non-Fire
35.19,237,421,448,Non-Fire
35.13,238,432,456,Non-Fire
35.13,234,422,453,Non-Fire
35.13,239,421,449,Non-Fire
35.06,239,445,451,Non-Fire
35.06,232,425,453,Non-Fire
35.06,213,426,445,Non-Fire
35.06,236,420,446,Non-Fire
35.06,231,423,448,Non-Fire
35,235,423,445,Non-Fire
35.06,237,422,448,Non-Fire
35.06,252,423,448,Non-Fire
35.38,241,424,459,Non-Fire
35.5,239,423,449,Non-Fire
35.69,237,416,447,Non-Fire
35.69,260,430,461,Non-Fire
35.75,272,441,473,Non-Fire
35.88,262,448,469,Non-Fire
35.94,259,455,486,Non-Fire
35.94,258,454,452,Non-Fire
36,251,448,470,Non-Fire
36.06,247,450,464,Non-Fire
36.06,249,451,464,Non-Fire
36.25,243,455,437,Non-Fire
36.31,256,432,473,Non-Fire
36.25,245,454,592,Non-Fire
36.31,241,457,454,Non-Fire
36.44,243,450,469,Non-Fire
36.56,246,458,465,Non-Fire
36.5,243,454,511,Non-Fire
36.56,240,450,421,Non-Fire
36.63,240,445,461,Non-Fire
36.75,240,447,477,Non-Fire
36.88,260,453,544,Non-Fire
36.88,240,473,497,Non-Fire
36.81,265,479,503,Non-Fire
36.88,256,481,502,Non-Fire
36.88,281,496,499,Non-Fire
36.81,278,496,505,Non-Fire
36.75,267,493,490,Non-Fire
36.75,263,490,492,Non-Fire
36.81,266,499,495,Non-Fire
36.88,263,529,490,Non-Fire
36.88,265,496,547,Non-Fire
37.06,264,449,528,Non-Fire
37.19,256,492,523,Non-Fire
37.25,263,488,528,Non-Fire
37.25,261,494,528,Non-Fire
37.31,256,491,528,Non-Fire
37.25,247,468,511,Non-Fire
37.25,244,468,503,Non-Fire
37.44,241,459,507,Non-Fire
37.56,232,432,497,Non-Fire
37.5,246,511,523,Non-Fire
37.5,235,447,497,Non-Fire
37.56,240,445,496,Non-Fire
37.63,237,455,511,Non-Fire
37.63,243,445,496,Non-Fire
37.56,240,443,502,Non-Fire
37.56,247,453,501,Non-Fire
37.5,253,463,511,Non-Fire
37.44,251,465,511,Non-Fire
37.44,251,469,511,Non-Fire
37.38,247,466,528,Non-Fire
37.31,253,464,510,Non-Fire
37.25,242,459,522,Non-Fire
37.25,291,452,510,Non-Fire
37.19,240,468,511,Non-Fire
37.19,240,451,508,Non-Fire
37.13,243,451,470,Non-Fire
37.06,242,449,511,Non-Fire
37.06,247,449,511,Non-Fire
37,243,447,511,Non-Fire
37,243,448,510,Non-Fire
36.94,240,448,522,Non-Fire
36.88,240,439,496,Non-Fire
36.81,240,445,511,Non-Fire
36.81,242,444,511,Non-Fire
36.88,241,447,526,Non-Fire
36.81,247,442,511,Non-Fire
36.88,240,454,524,Non-Fire
36.94,243,464,511,Non-Fire
36.94,247,448,509,Non-Fire
36.88,242,445,524,Non-Fire
36.88,259,450,529,Non-Fire
36.81,272,464,528,Non-Fire
36.81,277,480,533,Non-Fire
36.88,279,457,535,Non-Fire
36.75,270,482,525,Non-Fire
36.75,259,477,531,Non-Fire
36.75,251,477,523,Non-Fire
36.69,253,471,511,Non-Fire
36.69,251,464,511,Non-Fire
36.63,246,454,499,Non-Fire
36.63,272,470,490,Non-Fire
36.75,278,491,502,Non-Fire
36.63,267,487,542,Non-Fire
36.63,275,481,496,Non-Fire
36.56,259,479,511,Non-Fire
36.56,253,479,503,Non-Fire
36.56,249,468,501,Non-Fire
36.5,256,465,496,Non-Fire
36.44,237,462,485,Non-Fire
36.38,237,463,481,Non-Fire
36.38,227,458,481,Non-Fire
36.31,240,451,475,Non-Fire
36.25,245,457,481,Non-Fire
36.19,239,474,482,Non-Fire
36.19,240,453,477,Non-Fire
36.13,240,448,482,Non-Fire
36.06,247,452,493,Non-Fire
36,245,451,496,Non-Fire
35.94,256,462,483,Non-Fire
35.94,249,464,494,Non-Fire
35.94,254,464,493,Non-Fire
35.88,256,476,464,Non-Fire
35.81,241,656,489,Non-Fire
35.81,244,444,483,Non-Fire
35.75,242,465,483,Non-Fire
35.75,240,464,483,Non-Fire
35.69,244,464,482,Non-Fire
35.69,242,464,485,Non-Fire
35.63,253,460,477,Non-Fire
35.56,246,463,479,Non-Fire
35.56,244,464,467,Non-Fire
35.5,246,464,479,Non-Fire
35.56,257,466,480,Non-Fire
35.56,261,473,491,Non-Fire
35.56,255,478,496,Non-Fire
35.56,269,486,504,Non-Fire
35.5,245,487,499,Non-Fire
35.5,258,485,487,Non-Fire
35.5,256,470,487,Non-Fire
35.44,258,528,481,Non-Fire
35.38,251,486,481,Non-Fire
35.38,247,481,477,Non-Fire
35.38,245,467,481,Non-Fire
35.31,250,477,481,Non-Fire
35.31,248,476,477,Non-Fire
35.31,254,484,487,Non-Fire
35.31,256,481,481,Non-Fire
35.31,261,493,484,Non-Fire
35.31,283,503,494,Non-Fire
35.31,277,508,484,Non-Fire
35.25,262,507,488,Non-Fire
35.19,265,558,496,Non-Fire
35.19,261,496,487,Non-Fire
35.19,247,491,485,Non-Fire
35.19,257,495,454,Non-Fire
35.13,254,494,489,Non-Fire
35.19,264,497,496,Non-Fire
35.19,366,511,495,Non-Fire
35.06,272,523,487,Non-Fire
35.06,256,506,488,Non-Fire
34.63,235,450,461,Non-Fire
34.63,236,484,464,Non-Fire
34.63,239,454,465,Non-Fire
34.56,239,451,464,Non-Fire
34.5,240,451,429,Non-Fire
